TITLE;DESCRIPTION;VERSION;CREATION;UPDATE
"Deep Art Effects";"";"";26-11-2017 17:48:18;26-11-2017 17:48:18
"Betriebsstellen";"This REST-API enables you to query station and sto";"DB Systel GmbH";08-05-2017 14:44:53;31-07-2017 11:42:10
"Fahrplan-Free";"A RESTful webservice to request a railway journey ";"DBOpenData";08-05-2017 14:44:53;31-07-2017 11:42:10
"FaSta-Station_Facilities_Status";"A RESTful webservice to retrieve data about the op";"Michael Binzen";08-05-2017 14:44:53;31-07-2017 11:42:10
"Flinkster_API_NG";"This REST-API enables you to query for private tra";"DB Rent GmbH";08-05-2017 14:44:53;31-07-2017 11:42:10
"Reisezentren-API";"This REST-API enables you to query information abo";"DB Systel GmbH";08-05-2017 14:44:53;19-12-2017 15:07:24
"Stationsdatenbereitstellung";"An API providing master data for german railway st";"";08-05-2017 14:44:53;23-10-2017 13:10:35
"DLx";"The Digital Linguistics (DLx) REST API";"Daniel W. Hieber";23-02-2018 08:02:32;23-02-2018 08:02:32
"DocuSign";"The DocuSign REST API provides you with a powerful";"DocuSign Dev Center";15-08-2017 10:57:49;15-08-2017 10:57:49
"domainsdb.info";"Registered domains search checks the lists of regi";"";20-09-2017 14:06:35;20-09-2017 14:06:35
"DRACOON";"REST Web Services for DRACOON.<br> Version. 4.5.0 ";"";28-02-2018 18:06:22;28-02-2018 18:06:22
"DropX";"dropX.io API provides programmatic access to the e";"";31-08-2017 08:07:31;31-08-2017 08:07:31
"dweet.io";"Dweet.io allows users to share data from mobile, t";"";11-11-2015 23:20:20;23-10-2017 13:10:35
"API to View & Search for Items";"The Browse API lets shoppers search for specific i";"eBay Inc,";31-07-2017 09:48:45;19-02-2018 08:08:39
"Item Feed Service";"The Feed API provides the ability to download dail";"eBay Inc,";27-11-2017 09:31:58;29-01-2018 10:51:01
"Buy Marketing";"The Marketing API retrieves eBay products based on";"eBay Inc,";31-07-2017 09:48:45;27-11-2017 09:45:01
"Taxonomy";"Use the Taxonomy API to discover the most appropri";"eBay Inc,";31-07-2017 09:48:45;27-11-2017 09:45:01
"Fulfillment";"Use the Fulfillment API to complete the process of";"eBay Inc.";27-11-2017 09:31:58;27-11-2017 09:31:58
"API v1.0.0";"
[![Run in Postman](https://run.pstmn.io/button.s";"";01-02-2018 06:39:42;01-02-2018 06:39:42
"U.S. EPA Enforcement and Compliance History Online (ECHO) - Clean Air Act";"Enforcement and Compliance History Online (ECHO) i";"US EPA, OECA Integration, Targeting and Access Branch";21-03-2017 21:46:37;13-11-2017 17:00:58
"U.S. EPA Enforcement and Compliance History Online (ECHO) - Enforcement Case Search";"Enforcement and Compliance History Online (ECHO) i";"US EPA, OECA Integration, Targeting and Access Branch";21-03-2017 21:46:37;19-02-2018 08:08:39
"U.S. EPA Enforcement and Compliance History Online (ECHO) - Clean Water Act (CWA) Rest Services";"Enforcement and Compliance History Online (ECHO) i";"US EPA, OECA Integration, Targeting and Access Branch";21-03-2017 21:46:37;19-02-2018 08:08:39
"U.S. EPA Enforcement and Compliance History Online (ECHO) - Detailed Facility Report (DFR)";"Enforcement and Compliance History Online (ECHO) i";"US EPA, OECA Integration, Targeting and Access Branch";21-03-2017 21:46:37;13-11-2017 17:00:58
"U.S. EPA Enforcement and Compliance History Online (ECHO) - All Data";"Enforcement and Compliance History Online (ECHO) i";"US EPA, OECA Integration, Targeting and Access Branch";21-03-2017 21:46:37;13-11-2017 17:00:58
"U.S. EPA Enforcement and Compliance History Online (ECHO) - Effluent Charting and Reporting";"Enforcement and Compliance History Online (ECHO) i";"US EPA, OECA Integration, Targeting and Access Branch";21-03-2017 21:46:37;13-11-2017 17:00:58
"U.S. EPA Enforcement and Compliance History Online (ECHO) - Resource Conservation and Recovery Act ";"Enforcement and Compliance History Online (ECHO) i";"US EPA, OECA Integration, Targeting and Access Branch";21-03-2017 21:46:37;13-11-2017 17:00:58
"U.S. EPA Enforcement and Compliance History Online (ECHO) - Safe Drinking Water Act";"Enforcement and Compliance History Online (ECHO) i";"US EPA, OECA Integration, Targeting and Access Branch";21-03-2017 21:46:37;20-09-2017 08:20:19
"EtMDB REST API v1";"The Ethiopian Movie Database";"";16-10-2017 11:42:42;22-01-2018 15:44:32
"Europeana";"This Swagger API console provides an overview of a";"http://labs.europeana.eu/api";13-07-2016 20:28:00;05-02-2018 07:13:13
"ExaVault";"ExaVault's API allows you to incorporate ExaVault'";"";30-06-2015 22:26:14;01-03-2018 12:59:17
"Figshare";"Figshare apiv2. Using Swagger 2.0";"";05-07-2017 21:35:01;19-02-2018 08:08:39
"FireBrowse Beta API";"A simple and elegant way to explore cancer data";"";03-07-2015 15:51:44;20-11-2017 15:10:56
"Flat";"The Flat API allows you to easily extend the abili";"Flat";22-04-2017 11:51:48;19-02-2018 08:08:39
"Flickr API Schema";"A subset of Flickr's API defined in Swagger format";"";23-02-2018 08:51:29;23-02-2018 08:51:29
"API V1";"";"";26-11-2017 17:22:38;26-11-2017 17:22:38
"Freesound";"With the Freesound APIv2 you can browse, search, a";"";20-09-2017 14:00:38;20-09-2017 14:00:38
"FunTranslations";"Funtranslations API gives access to the full set o";"Fun Translations";13-11-2017 12:15:51;13-11-2017 12:15:51
"Furkot Trips";"Furkot provides Rest API to access user trip data.";"";14-09-2016 08:16:57;04-04-2017 17:27:32
"Geneea Natural Language Processing";"<div class="api-description">
    <h2>Authenticati";"";23-08-2015 20:35:00;22-01-2018 15:44:32
"RAMADDA";"Search for data in lots of places - manage your do";"";19-09-2015 02:16:17;19-02-2018 08:08:39
"GoToTraining";"The GoToTraining API enables developers to use the";"Developer Support";24-10-2015 02:39:33;11-05-2017 11:35:35
"GoToWebinar";"The GoToWebinar API provides seamless integration ";"Developer Support";24-10-2015 02:39:33;11-05-2017 11:35:35
"Sandbox";"Sandbox API";"Sandbox Support";23-08-2016 13:48:35;04-04-2017 17:27:32
"Getty Images";"Build applications using the world's most powerful";"";30-06-2015 22:07:35;05-02-2018 08:23:20
"Giphy";"Giphy API";"";27-08-2017 02:15:18;20-09-2017 08:20:19
"Gisgraphy webservices";"Since 2006, [Gisgraphy](http://www.gisgraphy.com) ";"davidmasclet@gisgraphy.com";04-09-2017 14:31:34;05-02-2018 07:13:13
"GitHub";"Powerful collaboration, code review, and code mana";"";02-12-2015 11:29:19;04-04-2017 17:27:32
"Gitlab";"The platform for modern developers
GitLab unifies ";"";11-04-2017 09:59:29;11-04-2017 10:17:56
"Google Abusive Experience Report";"View Abusive Experience Report data, and get a lis";"Google";08-06-2017 16:31:56;19-02-2018 08:08:39
"Accelerated Mobile Pages (AMP) URL";"Retrieves the list of AMP URLs (and equivalent AMP";"Google";22-05-2016 12:37:44;19-02-2018 08:08:39
"Ad Exchange Buyer";"Accesses your bidding-account information, submits";"Google";22-02-2015 20:00:45;22-01-2018 16:20:40
"Ad Exchange Buyer API II";"Accesses the latest features for managing Ad Excha";"Google";22-02-2016 20:03:41;23-10-2017 15:30:38
"Ad Exchange Seller";"Accesses the inventory of Ad Exchange seller users";"Google";22-02-2015 20:00:45;22-01-2018 16:20:40
"Google Ad Experience Report";"View Ad Experience Report data, and get a list of ";"Google";08-06-2017 16:31:56;19-02-2018 08:08:39
"Admin Reports";"Fetches reports for the administrators of G Suite ";"Google";22-02-2015 20:00:45;22-01-2018 16:20:40
"AdSense Management";"Accesses AdSense publishers' inventory and generat";"Google";22-02-2015 20:00:45;19-02-2018 08:08:39
"AdSense Host";"Generates performance reports, generates ad codes,";"Google";22-02-2015 20:00:45;19-02-2018 08:08:39
"Google Analytics";"Views and manages your Google Analytics data.";"Google";22-02-2015 20:00:45;22-01-2018 16:20:40
"Google Analytics Reporting";"Accesses Analytics report data.";"Google";08-04-2016 19:10:13;19-02-2018 08:08:39
"Android Device Provisioning Partner";"Automates Android zero-touch enrollment for device";"Google";24-04-2017 10:15:00;19-02-2018 08:08:39
"Google Play EMM";"Manages the deployment of apps to Android for Work";"Google";14-04-2015 17:40:46;19-02-2018 08:08:39
"Android Management";"The Android Management API provides remote enterpr";"Google";25-09-2017 11:04:46;19-02-2018 08:08:39
"Google Play Developer";"Lets Android application developers access their G";"Google";22-02-2015 20:00:45;19-02-2018 08:08:39
"Google App Engine Admin";"The App Engine Admin API enables developers to pro";"Google";16-12-2015 14:39:52;19-02-2018 08:08:39
"G Suite Activity";"Provides a historical view of activity.";"Google";22-02-2015 20:00:45;19-02-2018 08:08:39
"Google App State";"The Google App State API.";"Google";22-02-2015 20:00:45;19-02-2018 08:08:39
"BigQuery";"A data platform for customers to create, manage, s";"Google";22-02-2015 20:00:45;19-02-2018 08:08:39
"BigQuery Data Transfer";"Transfers data from partner SaaS applications to G";"Google";08-06-2017 16:31:56;19-02-2018 08:08:39
"Blogger";"API for access to the data within Blogger.";"Google";22-02-2015 20:00:45;22-01-2018 16:20:40
"Books";"Searches for books and manages your Google Books l";"Google";22-02-2015 20:00:45;04-01-2018 14:40:55
"Calendar";"Manipulates events and other calendar data.";"Google";22-02-2015 20:00:45;19-02-2018 08:08:39
"Google Civic Information";"Provides polling places, early vote locations, con";"Google";22-02-2015 20:00:45;22-01-2018 16:20:40
"Google Classroom";"Manages classes, rosters, and invitations in Googl";"Google";30-06-2015 20:09:46;19-02-2018 08:08:39
"Google Cloud Billing";"Allows developers to manage billing for their Goog";"Google";16-12-2015 14:39:52;19-02-2018 08:08:39
"Google Cloud Container Builder";"Builds container images in the cloud.";"Google";25-01-2016 14:37:32;19-02-2018 08:08:39
"Stackdriver Debugger";"Examines the call stack and variables of a running";"Google";24-07-2015 18:21:31;19-02-2018 08:08:39
"Stackdriver Error Reporting";"Groups and counts similar errors from cloud servic";"Google";24-03-2016 22:42:15;19-02-2018 08:08:39
"Google Cloud Functions";"API for managing lightweight user-provided functio";"Google";25-01-2016 14:37:32;19-02-2018 08:08:39
"Google Cloud IoT";"Registers and manages IoT (Internet of Things) dev";"Google";15-01-2017 17:34:50;19-02-2018 08:08:39
"Google Cloud Key Management Service (KMS)";"Manages encryption for your cloud services the sam";"Google";15-01-2017 17:34:50;19-02-2018 08:08:39
"Cloud Monitoring";"Accesses Google Cloud Monitoring data.";"Google";22-02-2015 20:00:45;04-10-2017 10:07:54
"Google Cloud Resource Manager";"The Google Cloud Resource Manager API provides met";"Google";09-06-2015 12:48:30;19-02-2018 08:08:39
"Cloud Tasks";"Manages the execution of large numbers of distribu";"Google";25-09-2017 11:04:46;19-02-2018 08:08:39
"Stackdriver Trace";"Sends application trace data to Stackdriver Trace ";"Google";24-04-2017 10:15:00;19-02-2018 08:08:39
"Cloud User Accounts";"Creates and manages users and groups for accessing";"Google";22-02-2015 20:00:45;22-01-2018 16:20:40
"Compute Engine";"Creates and runs virtual machines on Google Cloud ";"Google";22-02-2015 20:00:45;19-02-2018 08:08:39
"Consumer Surveys";"Creates and conducts surveys, lists the surveys th";"Google";08-04-2016 19:10:13;04-10-2017 10:07:54
"Google Kubernetes Engine";"The Google Kubernetes Engine API is used for build";"Google";22-02-2015 20:00:45;19-02-2018 08:08:39
"Content API for Shopping";"Manages product items, inventory, and Merchant Cen";"Google";22-02-2015 20:00:45;19-02-2018 08:08:39
"CustomSearch";"Searches over a website or collection of websites";"Google";22-02-2015 20:00:45;22-01-2018 16:20:40
"Google Dataflow";"Manages Google Cloud Dataflow projects on Google C";"Google";22-02-2015 20:00:45;19-02-2018 08:08:39
"Google Cloud Dataproc";"Manages Hadoop-based clusters and jobs on Google C";"Google";16-12-2015 14:39:52;19-02-2018 08:08:39
"Google Cloud Datastore";"Accesses the schemaless NoSQL database to provide ";"Google";04-04-2016 09:21:47;19-02-2018 08:08:39
"Google Cloud Deployment Manager";"Declares, configures, and deploys complex solution";"Google";22-02-2015 20:00:45;19-02-2018 08:08:39
"DCM/DFA Reporting And Trafficking";"Manages your DoubleClick Campaign Manager ad campa";"Google";22-02-2015 20:00:45;22-01-2018 16:20:40
"APIs Discovery Service";"Provides information about other Google APIs, such";"Google";22-02-2015 20:00:45;22-01-2018 16:20:40
"DLP";"The Google Data Loss Prevention API provides metho";"Google";24-04-2017 10:15:00;19-02-2018 08:08:39
"Google Cloud DNS";"Configures and serves authoritative DNS records.";"Google";22-02-2015 20:00:45;19-02-2018 08:08:39
"DoubleClick Bid Manager";"API for viewing and managing your reports in Doubl";"Google";22-02-2015 20:00:45;19-02-2018 08:08:39
"DoubleClick Search";"Reports and modifies your advertising data in Doub";"Google";22-02-2015 20:00:45;19-02-2018 08:08:39
"Drive";"Manages files in Drive including uploading, downlo";"Google";12-12-2015 00:25:13;19-02-2018 08:08:39
"Firebase Dynamic Links";"Programmatically creates and manages Firebase Dyna";"Google";02-10-2016 08:32:49;19-02-2018 08:08:39
"Firebase Remote Config";"Firebase Remote Config API allows the 3P clients t";"Google";25-09-2017 11:04:46;29-01-2018 10:51:01
"Firebase Rules";"Creates and manages rules that determine when a Fi";"Google";12-05-2016 20:45:18;19-02-2018 08:08:39
"Google Cloud Firestore";"";"Google";04-10-2017 10:07:54;19-02-2018 08:08:39
"Fitness";"Stores and accesses user data in the fitness store";"Google";22-02-2015 20:00:45;22-01-2018 16:20:40
"Fusion Tables";"API for working with Fusion Tables data.";"Google";22-02-2015 20:00:45;22-01-2018 16:20:40
"Google Play Game Services";"The API for Google Play Game Services.";"Google";22-02-2015 20:00:45;19-02-2018 08:08:39
"Google Play Game Services Publishing";"The Publishing API for Google Play Game Services.";"Google";22-02-2015 20:00:45;19-02-2018 08:08:39
"Google Play Game Services Management";"The Management API for Google Play Game Services.";"Google";22-02-2015 20:00:45;19-02-2018 08:08:39
"Genomics";"Upload, process, query, and search Genomics data i";"Google";22-02-2015 20:00:45;19-02-2018 08:08:39
"Gmail";"Access Gmail mailboxes including sending user emai";"Google";22-02-2015 20:00:45;19-02-2018 08:08:39
"Groups Migration";"Groups Migration Api.";"Google";22-02-2015 20:00:45;22-01-2018 16:20:40
"Groups Settings";"Lets you manage permission levels and related sett";"Google";22-02-2015 20:00:45;22-01-2018 16:20:40
"Google Identity and Access Management (IAM)";"Manages identity and access control for Google Clo";"Google";30-01-2016 23:13:22;19-02-2018 08:08:39
"Google Identity Toolkit";"Help the third party sites to implement federated ";"Google";22-02-2015 20:00:45;22-01-2018 16:20:40
"Knowledge Graph Search";"Searches the Google Knowledge Graph for entities.";"Google";16-12-2015 14:39:52;19-02-2018 08:08:39
"Google Cloud Natural Language";"Provides natural language understanding technologi";"Google";22-11-2016 15:57:03;19-02-2018 08:08:39
"Enterprise License Manager";"Views and manages licenses for your domain.";"Google";22-02-2015 20:00:45;22-01-2018 16:20:40
"Stackdriver Logging";"Writes log entries and manages your Stackdriver Lo";"Google";08-10-2015 16:46:43;19-02-2018 08:08:39
"Manufacturer Center";"Public API for managing Manufacturer Center relate";"Google";30-10-2016 20:34:09;19-02-2018 08:08:39
"Google Mirror";"Interacts with Glass users via the timeline.";"Google";22-02-2015 20:00:45;19-02-2018 08:08:39
"Google Cloud Machine Learning Engine";"An API to enable creating and using machine learni";"Google";02-10-2016 08:32:49;11-12-2017 13:21:54
"Stackdriver Monitoring";"Manages your Stackdriver Monitoring data and confi";"Google";16-03-2016 19:45:29;19-02-2018 08:08:39
"Google OAuth2";"Obtains end-user authorization grants for use with";"Google";22-02-2015 20:00:45;22-01-2018 16:20:40
"Google Cloud OS Login";"Manages OS login configuration for Google account ";"Google";25-09-2017 11:04:46;19-02-2018 08:08:39
"PageSpeed Insights";"Analyzes the performance of a web page and provide";"Google";22-02-2015 20:00:45;19-02-2018 08:08:39
"Google Partners";"Searches certified companies and creates contact l";"Google";15-07-2015 20:10:05;19-02-2018 08:08:39
"Google People";"Provides access to information about profiles and ";"Google";17-02-2016 13:10:35;19-02-2018 08:08:39
"Google Play Custom App Publishing";"An API to publish custom Android apps.";"Google";22-02-2015 20:00:45;22-01-2018 16:20:40
"Google Play Movies Partner";"Gets the delivery status of titles for Google Play";"Google";09-06-2015 12:48:30;23-10-2017 15:30:38
"Google+";"Builds on top of the Google+ platform.";"Google";22-02-2015 20:00:45;19-02-2018 08:08:39
"Google+ Domains";"Builds on top of the Google+ platform for Google A";"Google";22-02-2015 20:00:45;19-02-2018 08:08:39
"Poly";"The Poly API provides read-only access to assets h";"Google";11-12-2017 06:36:53;19-02-2018 08:08:39
"Prediction";"Lets you access a cloud hosted machine learning se";"Google";22-02-2015 20:00:45;22-01-2018 16:20:40
"Google Proximity Beacon";"Registers, manages, indexes, and searches beacons.";"Google";16-12-2015 14:39:52;19-02-2018 08:08:39
"Google Cloud Pub/Sub";"Provides reliable, many-to-many, asynchronous mess";"Google";16-12-2015 14:39:52;19-02-2018 08:08:39
"QPX Express";"Finds the least expensive flights between an origi";"Google";22-02-2015 20:00:45;04-10-2017 10:07:54
"Google Compute Engine Instance Group Manager";"[Deprecated. Please use Instance Group Manager in ";"Google";22-02-2015 20:00:45;22-01-2018 16:20:40
"Google Compute Engine Instance Group Updater";"[Deprecated. Please use compute.instanceGroupManag";"Google";22-02-2015 20:00:45;22-01-2018 16:20:40
"Enterprise Apps Reseller";"Creates and manages your customers and their subsc";"Google";22-02-2015 20:00:45;22-01-2018 16:20:40
"Google Compute Engine Instance Groups";"The Resource View API allows users to create and m";"Google";22-02-2015 20:00:45;22-01-2018 16:20:40
"Google Cloud Runtime Configuration";"The Runtime Configurator allows you to dynamically";"Google";25-01-2016 14:37:32;19-02-2018 08:08:39
"Google Safe Browsing";"Enables client applications to check web resources";"Google";27-04-2016 13:30:31;19-02-2018 08:08:39
"Google Apps Script";"An API for managing and executing Google Apps Scri";"Google";28-09-2015 21:22:10;19-02-2018 08:08:39
"Google Search Console URL Testing Tools";"Provides tools for running validation tests agains";"Google";22-05-2016 12:37:44;19-02-2018 08:08:39
"Service Consumer Management";"Provides management methods for configuring servic";"Google";04-08-2016 10:54:01;19-02-2018 08:08:39
"Google Service Control";"Google Service Control provides control plane func";"Google";04-08-2016 10:54:01;19-02-2018 08:08:39
"Google Service Management";"Google Service Management allows service producers";"Google";04-08-2016 10:54:01;19-02-2018 08:08:39
"Google Service User";"Enables services that service consumers want to us";"Google";04-08-2016 10:54:01;19-02-2018 08:08:39
"Google Sheets";"Reads and writes Google Sheets.";"Google";22-05-2016 12:37:44;19-02-2018 08:08:39
"Google Site Verification";"Verifies ownership of websites or domains with Goo";"Google";22-02-2015 20:00:45;22-01-2018 16:20:40
"Google Slides";"An API for creating and editing Google Slides pres";"Google";22-11-2016 15:57:03;19-02-2018 08:08:39
"Cloud Source Repositories";"Access source code repositories hosted by Google.";"Google";16-03-2017 10:54:08;19-02-2018 08:08:39
"Cloud Spanner";"Cloud Spanner is a managed, mission-critical, glob";"Google";16-03-2017 10:54:08;19-02-2018 08:08:39
"Google Spectrum Database";"API for spectrum-management functions.";"Google";22-02-2015 20:00:45;19-02-2018 08:08:39
"Google Cloud Speech";"Converts audio to text by applying powerful neural";"Google";25-01-2016 14:37:32;19-02-2018 08:08:39
"Cloud SQL Administration";"Creates and configures Cloud SQL instances, which ";"Google";22-02-2015 20:00:45;19-02-2018 08:08:39
"Cloud Storage";"Stores and retrieves potentially large, immutable ";"Google";22-02-2015 20:00:45;19-02-2018 08:08:39
"Google Storage Transfer";"Transfers data from external data sources to a Goo";"Google";16-12-2015 14:39:52;19-02-2018 08:08:39
"Street View Publish";"Publishes 360 photos to Google Maps, along with po";"Google";25-09-2017 11:04:46;19-02-2018 08:08:39
"Surveys";"Creates and conducts surveys, lists the surveys th";"Google";08-04-2016 19:10:13;22-01-2018 16:20:40
"Tag Manager";"Accesses Tag Manager accounts and containers.";"Google";22-02-2015 20:00:45;22-01-2018 16:20:40
"TaskQueue";"Accesses a Google App Engine Pull Task Queue over ";"Google";22-02-2015 20:00:45;22-01-2018 16:20:40
"Tasks";"Lets you manage your tasks and task lists.";"Google";22-02-2015 20:00:45;22-01-2018 16:20:40
"Google Cloud Testing";"Allows developers to run automated tests for their";"Google";25-09-2017 11:04:46;19-02-2018 08:08:39
"Cloud Tool Results";"Reads and publishes results from Firebase Test Lab";"Google";08-03-2016 22:45:20;19-02-2018 08:08:39
"Cloud TPU";"TPU API provides customers with access to Google T";"Google";25-01-2016 14:37:32;19-02-2018 08:08:39
"Stackdriver Trace";"Send and retrieve trace data from Stackdriver Trac";"Google";24-04-2017 10:15:00;11-07-2017 07:50:08
"Google Cloud Translation";"The Google Cloud Translation API lets websites and";"Google";22-02-2015 20:00:45;19-02-2018 08:08:39
"URL Shortener";"Lets you create, inspect, and manage goo.gl short ";"Google";22-02-2015 20:00:45;22-01-2018 16:20:40
"Google Vault";"Archiving and eDiscovery for G Suite.";"Google";25-09-2017 11:04:46;19-02-2018 08:08:39
"Cloud Video Intelligence";"Cloud Video Intelligence API.";"Google";25-01-2016 14:37:32;19-02-2018 08:08:39
"Google Cloud Vision";"Integrates Google Vision features, including image";"Google";04-02-2016 01:12:42;19-02-2018 08:08:39
"Google Fonts Developer";"Accesses the metadata for all families served by G";"Google";22-02-2015 20:00:45;22-01-2018 16:20:40
"Search Console";"View Google Search Console data for your verified ";"Google";22-02-2015 20:00:45;19-02-2018 08:08:39
"YouTube Data";"Supports core YouTube features, such as uploading ";"Google";22-02-2015 20:00:45;20-02-2018 17:15:51
"YouTube Analytics";"Retrieves your YouTube Analytics data.";"Google";22-02-2015 20:00:45;20-02-2018 17:15:51
"YouTube Reporting";"Schedules reporting jobs containing your YouTube A";"Google";16-12-2015 14:39:52;20-02-2018 17:15:51
"BC Data Catalogue";"This API provides live access to the BC Data Catal";"Data BC";20-04-2017 18:04:18;20-04-2017 18:04:18
"BC Geographical Names Web Service -";"This REST API provides searchable access to inform";"BC Geographical Names Office";20-04-2017 18:04:18;20-04-2017 18:04:18
"Geocoder";"This API represents address cleaning, correction, ";"DataBC";20-04-2017 18:04:18;25-11-2017 10:53:03
"GeoMark Web Service";"The Geomark Web Service allows you to create and s";"Data BC";20-04-2017 18:04:18;23-10-2017 13:10:35
"WorkBC Job Posting";"This API allows you to receive a feed of jobs from";"";20-04-2017 18:04:18;25-11-2017 10:53:03
"DriveBC's Open511";"This API is DriveBC's implementation of the Open51";"Drive BC";20-04-2017 18:04:18;25-11-2017 10:53:03
"BC Route Planner";"Finds shortest/fastest route between a start point";"Data BC";20-04-2017 18:04:18;23-10-2017 13:10:35
"Route Optimization";"Our Route Optimization API solves the so called ve";"";16-11-2015 20:41:24;04-04-2017 17:27:32
"Greenwire Public";"Greenpeace Greenwire allows you connect with other";"Greenpeace International contact";23-02-2018 08:36:47;23-02-2018 08:36:47
"Discovery Market Research";"<p>This API drives the <a href="https://discovery.";"";18-06-2015 13:18:55;19-02-2018 08:08:39
"HackathonWatch";"";"";26-11-2017 14:05:20;26-11-2017 14:05:20
"Metadata";"API that provides Metadata information.";"";27-11-2017 19:00:45;27-11-2017 20:19:37
"Profile";"API that provides Profile information about Player";"";27-11-2017 20:21:00;27-11-2017 20:21:00
"Stats";"API that provides statistical data about Players a";"";27-11-2017 20:21:31;22-01-2018 15:44:32
"UGC";"API that provides Metadata about User-Generated Co";"";27-11-2017 20:20:12;27-11-2017 20:20:12
"Healthcare";"";"";05-12-2015 06:47:56;04-04-2017 17:27:32
"hetras Booking API Version 0";"";"";02-07-2015 13:47:37;19-02-2018 08:08:39
"hetras Hotel API Version 0";"";"";29-10-2015 17:09:43;19-02-2018 08:08:39
"HHS Media Services";"
<div class="swagger-ui-wrap extraFooter"><h3>Comm";"";09-11-2015 22:55:27;20-11-2017 15:10:56
"HSBC UK";"";"";25-11-2017 17:57:32;25-11-2017 17:57:32
"Icons8";"Icons8 API allows us to search and obtain [our ico";"";28-09-2017 13:50:57;18-12-2017 08:20:02
"Active Documentation for /v1";"Our active docs provide the ability to test out yo";"";07-09-2015 18:18:34;05-02-2018 07:13:13
"IoE² IoT API - to create end-user applications";"";"IJENKO";01-02-2017 11:44:50;30-05-2017 07:45:19
"IllumiDesk";"";"";26-09-2017 13:42:23;19-02-2018 08:08:39
"import.io";"";"";15-01-2017 22:52:58;18-12-2017 07:27:05
"import.io";"";"";15-01-2017 22:52:58;18-12-2017 07:27:05
"import.io";"";"";15-01-2017 22:52:58;18-12-2017 07:27:05
"import.io";"";"";15-01-2017 22:52:58;18-12-2017 07:27:05
"import.io";"";"";15-01-2017 22:52:58;18-12-2017 07:27:05
"Mailsquad";"MailSquad offers an affordable and super easy way ";"";22-10-2015 19:48:00;29-04-2017 11:24:42
"Infermedica";"Empower your healthcare services with intelligent ";"";08-02-2018 09:43:30;08-02-2018 09:43:30
"Instagram";"Description of Instagram RESTful API.

Current lim";"Instagram";05-08-2015 18:22:21;11-01-2018 10:12:02
"Instawell";"The Instawell API gives you access to  helpers all";"";14-11-2017 15:56:36;14-11-2017 15:56:36
"iQualify";"The iQualify API offers management and analytics r";"";27-11-2017 10:56:45;22-01-2018 15:44:32
"API iSendPro";"[1] Liste des fonctionnalités :
- envoi de SMS à";"iSendPro Support Team";27-11-2017 10:56:57;27-11-2017 12:55:03
"Entertainment Express";"Your Gateway to Building Incredible Movie, TV, and";"";25-11-2017 18:31:14;30-11-2017 17:31:05
"Jirafe Events";"API endpoins for sending Jirafe events";"";11-11-2015 23:47:36;20-11-2017 15:10:56
"Jumpseller API";"Explore all our endpoints with your own set of of ";"";25-11-2017 11:27:33;05-02-2018 08:23:20
"koomalooma Partner";"This is the koomalooma Partner API. koomalooma is ";"";26-11-2017 18:10:14;26-11-2017 18:10:14
"Deed";"Land Registry Deed API";"";24-02-2018 17:19:57;24-02-2018 17:19:57
"LaunchDarkly";"Build custom integrations with the LaunchDarkly RE";"LaunchDarkly Support";29-09-2017 06:46:56;19-02-2018 08:08:39
"Learnifier";"";"";06-11-2015 17:45:48;27-02-2018 17:51:33
"link.fish";"API to easily extract data from websites.


# Base";"link.fish";11-12-2017 13:15:36;11-12-2017 13:57:27
"LotaData";"Access the most exhaustive, accurate and up-to-dat";"";04-09-2017 13:21:43;04-09-2017 13:21:43
"LH Partner";"";"";08-08-2017 12:19:23;08-08-2017 12:19:23
"LH Public";"";"";08-08-2017 12:19:23;22-01-2018 15:44:32
"Lyft";"Drive your app to success with Lyft's API";"Lyft";22-04-2017 14:11:24;04-09-2017 12:48:35
"Magento Enterprise";"Magento Commerce is the leading provider of open o";"";30-09-2016 14:10:15;26-06-2017 18:31:20
"Tradeworks";"Authentication is required to access all methods o";"";13-07-2015 11:41:15;07-12-2017 12:01:39
"Mandrill";"Mandrill is a reliable, scalable, and secure deliv";"";09-12-2015 12:55:37;04-04-2017 17:27:32
"Geo DB";"This developer-centric REST API focuses on getting";"";30-10-2017 12:32:36;04-01-2018 14:42:04
"Rat Genome Database";"The RGD REST API provides programmatic access to i";"Rat Genome Database";26-11-2017 18:06:00;19-02-2018 08:08:39
"Medium.com";"Medium’s unofficial API documentation using Open";"Hossain Khan";28-08-2016 17:23:44;28-08-2017 20:12:53
"Miataru";"The Miataru API is very simple and straight forwar";"Miataru Team";23-02-2018 07:43:18;23-02-2018 07:43:18
"Custom Search";"The Bing Custom Search API lets you send a search ";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"Entity Search";"The Entity Search API lets you send a search query";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"Image Search";"The Image Search API lets you send a search query ";"";12-12-2017 10:25:16;19-02-2018 08:41:37
"News Search";"The News Search API lets you send a search query t";"";02-01-2018 11:52:51;19-02-2018 08:41:37
"Spell Check";"The Spell Check API - V7 lets you check a text str";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"Video Search";"The Video Search API lets you search on Bing for v";"";04-12-2017 09:12:06;19-02-2018 08:41:37
"Web Search";"The Web Search API lets you send a search query to";"";04-12-2017 09:12:06;19-02-2018 08:41:37
